gent.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 159316 900 1800 6048000 3600
beroepenhuis.gent.	3600	in	ds	63918 13 2 5F7B92C2881D664FE213CE608EB28E2D6A46F8240122E1F6B710AE303BB640DF
beroepenhuis.gent.	3600	in	ns	ns3.european-server.com.
beroepenhuis.gent.	3600	in	ns	ns4.european-server.com.
beroepenhuis.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. knZ7RDM8EItgtK9jOImjJlyq/geVVP3zZaWn4ScnM3t8CQmiH9XSUBh85u0dQVRitOYxgIjYKup/B0I9QB28bA==
bert.gent.	3600	in	ns	guss.ns.cloudflare.com.
bert.gent.	3600	in	ns	olivia.ns.cloudflare.com.
bestofbikes.gent.	3600	in	ns	ns.zxcs.be.
bestofbikes.gent.	3600	in	ns	ns.zxcs.eu.
bestofbikes.gent.	3600	in	ns	ns.zxcs.nl.
bestuur.gent.	3600	in	ds	715 13 2 5E08B453A4203C4AC87E9A8E8C0777B21904F1D82BBF81D49BF45B1E6D0549D4
bestuur.gent.	3600	in	ns	ns3.european-server.com.
bestuur.gent.	3600	in	ns	ns4.european-server.com.
bestuur.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. Vw9FdSJov1uhFFPc8s6kYqAf4CkuXQGyuvY9FL9jyu16YVDQ8u2TArJzSM+H3p/aXi6benqi3nQAuDkwgZF5dg==
betonboring.gent.	3600	in	ns	ns53.be.
betonboring.gent.	3600	in	ns	ns53.io.
betonboring.gent.	3600	in	ns	ns53.it.
betonboringen.gent.	3600	in	ns	ns53.be.
betonboringen.gent.	3600	in	ns	ns53.io.
beweging.gent.	3600	in	ns	ns1.combell.eu.
beweging.gent.	3600	in	ns	ns3.combell.net.
beweging.gent.	3600	in	ns	ns4.combell.net.
bewoners.gent.	3600	in	ns	ns1.european-server.eu.
bewoners.gent.	3600	in	ns	ns3.european-server.com.
bewoners.gent.	3600	in	ns	ns4.european-server.com.
bewust.gent.	3600	in	ds	12135 13 2 46F1492433AF577ADFD52C259C0A2E1E67AEA360A73685DE531E485D4B315347
bewust.gent.	3600	in	ns	ns1.combell.eu.
bewust.gent.	3600	in	ns	ns3.combell.net.
bewust.gent.	3600	in	ns	ns4.combell.net.
bewust.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. ccybRz7U96m5t4BeYQvVbFN7o447KXtWaS2lv3MtNbn8qVdbMr19t3wUVguC9yiAow4x97BYxXQf4jOA2Cv7uQ==
bf2828.gent.	3600	in	ds	34692 13 2 58A17309C811D28232E293A6C43169FFAAE0211A81D04B281F4884215EB74E78
bf2828.gent.	3600	in	ns	ns1.combell.eu.
bf2828.gent.	3600	in	ns	ns3.combell.net.
bf2828.gent.	3600	in	ns	ns4.combell.net.
bf2828.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. 2nvBsEpE6l/nRigv+K7AScS7KikjpRImpoeoyNr1hH33ojJK2q3djywCXxSKHETuOZ/f3ze9nY3PK0VKUjdOhQ==
bfcrbsullnjg79octdnu257kpagif3fh.gent.	900	in	nsec3	1 1 0 - BFLV1KIR5UMDA3CI6MUOGON3PR2J7VVS NS DS RRSIG
bfcrbsullnjg79octdnu257kpagif3fh.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. IpMrQFvH0/r7w/UdUOKsa+Cd3wcCOS+Nqnj7ERabGQsL0RJnHYKwVPT8JQZsElicNhXcH0Ljb+4t69M6uMC4UA==
bflv1kir5umda3ci6muogon3pr2j7vvs.gent.	900	in	nsec3	1 1 0 - BH3EVD0I4BVCU6OT7PNN9SJLNRE06HRF NS DS RRSIG
bflv1kir5umda3ci6muogon3pr2j7vvs.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. 3/U1va94uXkYmx8qn+IR/Wu2OnHvrbcCyYokI6dMi+aL1q1MPNkZE+Jok5f3Up1sZ395xlA6FkOQpLPawHCv3Q==
bh3evd0i4bvcu6ot7pnn9sjlnre06hrf.gent.	900	in	nsec3	1 1 0 - BH77A8PIG0V3HMOP9R1HMR9N7FDGP3QD NS DS RRSIG
bh3evd0i4bvcu6ot7pnn9sjlnre06hrf.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. eqqhUJdKvKvVYH9G84RLhO/kN5KBGTYklWPSFYb866nWnP6DfrEvRFF7NTukoxk68VqDMevctbaiEn9DQb+yag==
bh77a8pig0v3hmop9r1hmr9n7fdgp3qd.gent.	900	in	nsec3	1 1 0 - BHASKDMVNFE23EDN5RVVD9MB76A5VKS1 NS DS RRSIG
bh77a8pig0v3hmop9r1hmr9n7fdgp3qd.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. nGEBRhqGmu6NrwUtxGrUkU8YV0Z9GOsT2f4s0/Y67/0OQ8DU8TFt5vyQZlwHWYL12+QlslcI12HYR7rGEWHn4w==
bha.gent.	3600	in	ns	ns1.register.be.
bha.gent.	3600	in	ns	ns2.register.be.
bha.gent.	3600	in	ns	ns3.register.be.
bhaskdmvnfe23edn5rvvd9mb76a5vks1.gent.	900	in	nsec3	1 1 0 - BHDO28OQT0480OACMG9MC64C2T1N68VA NS DS RRSIG
bhaskdmvnfe23edn5rvvd9mb76a5vks1.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. ij/f6Qz4DjC1QHnccjmuoId7Bekasp+tJdj2XfbndBWzsONOuxDQDj3esIVBz8iHG0HRmDaL8vXp6lQy1yNctw==
bhdo28oqt0480oacmg9mc64c2t1n68va.gent.	900	in	nsec3	1 1 0 - BIALBN85AAANE9V6AUGCHLDPCUML2SNG NS DS RRSIG
bhdo28oqt0480oacmg9mc64c2t1n68va.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. gL00x0YOBPaeEuM4+TAplRo71cN8RD0GNT76Oc2UkhRip+VjDqOCLz45wN/6uQ9fXSAOYRRDqAOukXxONvBvQA==
bialbn85aaane9v6augchldpcuml2sng.gent.	900	in	nsec3	1 1 0 - BJ303DGI3QOKUTG9CP8B6SLUH8OJ91M9 NS DS RRSIG
bialbn85aaane9v6augchldpcuml2sng.gent.	900	in	rrsig	NSEC3 13 2 900 20260118234010 20251219221010 48473 gent. n8tb3zCqXtjnxIgMZE/MD8B1AMkeflaIydbtbldddH6oeDb0gVxobUBrOxgMgrccQsmTcKI26UBx9Z3rGiPlVQ==
bibliotheek.gent.	3600	in	ds	893 13 2 E306BC53056A182051EB097B6EF28973875F6EA669AC965F0CC8657F8918B227
bibliotheek.gent.	3600	in	ns	ns3.european-server.com.
bibliotheek.gent.	3600	in	ns	ns4.european-server.com.
bibliotheek.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. tPzdfOpIbieGoJv9zNdRsaeIJ6Z4q06A9Si3CiGO9RAzpDn1+u6T7wl6YtMxXrKK7WoF1Il2TiZRCRR65PucXg==
bidvest.gent.	3600	in	ns	ns1.lexsynergy.net.
bidvest.gent.	3600	in	ns	ns2.lexsynergy.us.
bidvest.gent.	3600	in	ns	ns3.lexsynergy.info.
biennale.gent.	3600	in	ds	48940 13 2 A5DF2A48F59ADC0455E74FD06C3D74EC3C9E1B368FB5E31275F715980F4B14A4
biennale.gent.	3600	in	ns	ns1.xolution.nu.
biennale.gent.	3600	in	ns	ns2.xolution.uk.
biennale.gent.	3600	in	ns	ns3.xolution.nl.
biennale.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. jx9DmhZbVM6vjaeALZ2JhbUpP/OpaSZ5LrOgNDpLEKuPUr2s3RsvhnX/pdQfdmhYrpySqVT0SjWTiZX5O2k/AA==
bier.gent.	3600	in	ns	ns1.sedoparking.com.
bier.gent.	3600	in	ns	ns2.sedoparking.com.
biercentral.gent.	3600	in	ns	ns01.vestaserver.eu.
biercentral.gent.	3600	in	ns	ns02.vestaserver.be.
biercentral.gent.	3600	in	ns	ns03.vestaserver.eu.
biercentral.gent.	3600	in	ns	ns04.vestaserver.be.
biercentral.gent.	3600	in	ns	ns05.vestaserver.eu.
biercentral.gent.	3600	in	ns	ns06.vestaserver.be.
big.gent.	3600	in	ns	ns1.eurodns.com.
big.gent.	3600	in	ns	ns2.eurodns.com.
big.gent.	3600	in	ns	ns3.eurodns.com.
big.gent.	3600	in	ns	ns4.eurodns.com.
bijles.gent.	3600	in	ns	ns3.combell.net.
bijles.gent.	3600	in	ns	ns4.combell.net.
bijlesrecht.gent.	3600	in	ns	ns3.combell.net.
bijlesrecht.gent.	3600	in	ns	ns4.combell.net.
bijloke.gent.	3600	in	ds	272 13 2 2224FB1748A218B1BC48197BBFB9FE1B7B386049DA5A46AF83FCE3CF4D61E281
bijloke.gent.	3600	in	ns	ns3.european-server.com.
bijloke.gent.	3600	in	ns	ns4.european-server.com.
bijloke.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. KL5AdHg73K0aF8O5lzfY6ACha+dpNBzunU/l2XvGwpfGOxemwNvn74twTXeiXN7oC+x0dqQcID9MOazOovx/Aw==
bijlokebistro.gent.	3600	in	ns	ns3.combell.net.
bijlokebistro.gent.	3600	in	ns	ns4.combell.net.
bijlokesite.gent.	3600	in	ds	19901 13 2 E6E3C526C910CD90C5609260CE81D82DC331351A39F63834EB542C4795A7B299
bijlokesite.gent.	3600	in	ns	ns3.european-server.com.
bijlokesite.gent.	3600	in	ns	ns4.european-server.com.
bijlokesite.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. T/rpjtas9sXHzCjrJOyDnOa3H6mBYinyEgIpMUw2R5Dwlqvxpulo6uj1Wg1zkUwgk9jV0Qp981IHkES5r1x1Qw==
bikefit.gent.	3600	in	ds	41824 13 2 601384CCEA0E7A5CD8FB5B5579F47D3178B33A627EEA7AB2DBD637D543D5DD10
bikefit.gent.	3600	in	ns	ns3.combell.net.
bikefit.gent.	3600	in	ns	ns4.combell.net.
bikefit.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. rEO9RrHp40uH7jzazSDBg1tDS7+8yDSdDdsVXvSu3CbOucBixz0kXSKpggT4VJ2Rmexe1i2qY3zJnQdagzl45A==
bikefitting.gent.	3600	in	ds	29034 13 2 2F79D45D3A447AC354D185869EC984176BFC3E069E66F55B59369C8E9A8A336A
bikefitting.gent.	3600	in	ns	ns3.combell.net.
bikefitting.gent.	3600	in	ns	ns4.combell.net.
bikefitting.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. BhnmMwROKzQElhxNvsrqqq1I3QeTqaAM1R6V99ENad41DjGO1IF7+zHgep52Hk5KROP7b7N7ERTGHkn1Wicg5g==
billiebonkers.gent.	3600	in	ns	ken.ns.cloudflare.com.
billiebonkers.gent.	3600	in	ns	lisa.ns.cloudflare.com.
billy.gent.	3600	in	ns	samara.ns.cloudflare.com.
billy.gent.	3600	in	ns	venkat.ns.cloudflare.com.
bilt.gent.	3600	in	ns	ns-134-c.gandi.net.
bilt.gent.	3600	in	ns	ns-207-a.gandi.net.
bilt.gent.	3600	in	ns	ns-90-b.gandi.net.
binance28.gent.	3600	in	ds	48210 13 2 3556DBEA04C9D7BC4064E3CFB836382F70B10B74FCFB858A8F4A32A7DD94BE77
binance28.gent.	3600	in	ns	ns1.combell.eu.
binance28.gent.	3600	in	ns	ns3.combell.net.
binance28.gent.	3600	in	ns	ns4.combell.net.
binance28.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. GeLfucl5s4G2fxctujP4uNN7rcrjbd2MtbPcuozVyJgXeI4616u8a0dVOSkwvPCRzQqlmSwt2W1fmhQe6Mnn+w==
binnenstad.gent.	3600	in	ds	2357 13 2 1FAC54C437192884B446BB94EDE0D8BBDCED59A240ED2BB9A147F7E7665D0FB6
binnenstad.gent.	3600	in	ns	ns3.european-server.com.
binnenstad.gent.	3600	in	ns	ns4.european-server.com.
binnenstad.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. I8nri5mn4ArCtWDqe3ijOOQnV4SJ45pa8vTrVlZsJHQr61FXlS1WEUTilOz/0jVoyKrG9eH7AMn2eIkOEE6RBw==
binnenvaart.gent.	3600	in	ns	ns53.be.
binnenvaart.gent.	3600	in	ns	ns53.io.
binnenvaart.gent.	3600	in	ns	ns53.it.
bio-shop.gent.	3600	in	ns	ns3.european-server.com.
bio-shop.gent.	3600	in	ns	ns4.european-server.com.
biodom.gent.	3600	in	ns	ns.zxcs.be.
biodom.gent.	3600	in	ns	ns.zxcs.nl.
biontech.gent.	3600	in	ns	ns.udag.de.
biontech.gent.	3600	in	ns	ns.udag.net.
biontech.gent.	3600	in	ns	ns.udag.org.
bioshop.gent.	3600	in	ns	ns3.combell.net.
bioshop.gent.	3600	in	ns	ns4.combell.net.
bitcoin.gent.	3600	in	ns	ns1.gigatux.com.
bitcoin.gent.	3600	in	ns	ns2.gigatux.com.
bitcoin.gent.	3600	in	ns	ns3.gigatux.com.
bitesize.gent.	3600	in	ds	45167 13 2 A36D3E1083405752C89F41882B480C07B1AEB8844DB2375EA74E24BD2F70ACCA
bitesize.gent.	3600	in	ns	ns3.combell.net.
bitesize.gent.	3600	in	ns	ns4.combell.net.
bitesize.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. ylcHgZjLvL2h5Dt9lXpJEw7l5y89h/R53eQFQ/V/i1/S93S4Swylv2Ve50/Cr0TzY5uhM1f6y0G5TL7XofG/9g==
bizar.gent.	3600	in	ns	ns3.combell.net.
bizar.gent.	3600	in	ns	ns4.combell.net.
bizarhair.gent.	3600	in	ns	ns3.combell.net.
bizarhair.gent.	3600	in	ns	ns4.combell.net.
bj303dgi3qokutg9cp8b6sluh8oj91m9.gent.	900	in	nsec3	1 1 0 - BJ3VTUDDK07RRULRK9L8P2GOCRI1MSTP NS DS RRSIG
bj303dgi3qokutg9cp8b6sluh8oj91m9.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. DM1Mz5uaN4Wwte1zvryk2+YBbTJPr1uG+NCJPRZOw2nXhsFSVhA7ZKJxiw+TiYWjJ/iE4pMz/YWfl5GI+WRddQ==
bj3vtuddk07rrulrk9l8p2gocri1mstp.gent.	900	in	nsec3	1 1 0 - BKEDG215OCKCJ3HVE8AQLK87FDO6BBC8 NS DS RRSIG
bj3vtuddk07rrulrk9l8p2gocri1mstp.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. u9X5S9flvAd5Bkn5lhaSSAYf3rH0Sz1t1bPhh0sqyZR5u/WefzT6X2G8pyo/af5EkGa/nWvJD9Rm4YObODBB1Q==
bjien.gent.	3600	in	ns	christina.neostrada.nl.
bjien.gent.	3600	in	ns	lisa.neostrada.nl.
bjien.gent.	3600	in	ns	sandra.neostrada.nl.
bkedg215ockcj3hve8aqlk87fdo6bbc8.gent.	900	in	nsec3	1 1 0 - BLPTDI2IJLFBVMG9TH499KSG02DMHLRM NS DS RRSIG
bkedg215ockcj3hve8aqlk87fdo6bbc8.gent.	900	in	rrsig	NSEC3 13 2 900 20260109105120 20251210092120 48473 gent. FV1slDhYQbrhifkEqnrkQdymWNE3z1EqioL1q6TqDKi6rHgGBAq92J4E0N3IfjrLJQFOrYpPMvnHm05VCOWW/g==
blaarmeersen.gent.	3600	in	ds	64083 13 2 0AF6846163E58C4B38E7AD180C3137FE42706D6CF09E5EC83E9A7AFAD9799196
blaarmeersen.gent.	3600	in	ns	ns3.european-server.com.
blaarmeersen.gent.	3600	in	ns	ns4.european-server.com.
blaarmeersen.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. OCa114mR2pAreUxGlYBKVxewBRNZmIDk75BNcVifl/572B31n6Koruf9VNgJoHH3ovKxKCZIYCIZiU6C2lL5Rg==
blacklabel.gent.	3600	in	ds	43968 13 2 E01B1859FE0990CDEBEF5440CA873F77A28CC1B72276FD8C60B78745320A3E33
blacklabel.gent.	3600	in	ns	ns1.combell.eu.
blacklabel.gent.	3600	in	ns	ns3.combell.net.
blacklabel.gent.	3600	in	ns	ns4.combell.net.
blacklabel.gent.	3600	in	rrsig	DS 13 2 3600 20260111105039 20251212092039 48473 gent. KQNlcIugv9dgJscBEWccjv+BVoAjC4+zpNtlCCF4VepPaaNPu5IDXKlHg7N2ImutdnFSTUfl27Dz9NrEwx9EXQ==
blackswan.gent.	3600	in	ns	nsn1.mijndomein.nl.
blackswan.gent.	3600	in	ns	nsn2.mijndomein.nl.
blaisantvest.gent.	3600	in	ds	59090 13 2 BDE7E0A60009946BA6A7AF259CA918D13637C02B9D710C9FAEB50B7AF9F90E97
blaisantvest.gent.	3600	in	ns	ns3.european-server.com.
blaisantvest.gent.	3600	in	ns	ns4.european-server.com.
blaisantvest.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. d+O+kjrUT8BaoIBhnhjpX+Rb1mHbV3FFYLeHvh9fWTMfSWXbswCiZIZ33Mpsia/3/Pucu5NHtYveCSwbAHXAIA==
bleaching.gent.	3600	in	ns	ns3.european-server.com.
bleaching.gent.	3600	in	ns	ns4.european-server.com.
bleckmann.gent.	3600	in	ds	61129 13 2 0F4742D5BE2D7CABC543CEC5259D2B6F72540DD2032FEACED17CF42E453C3D0F
bleckmann.gent.	3600	in	ns	ns3.combell.net.
bleckmann.gent.	3600	in	ns	ns4.combell.net.
bleckmann.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. x4Lu7eFq49CMHAG3unNsO/PEldN1aiKG7xOnuasNHCNQ5S/C4qmcRJ1FcBzdHWH/QRCZVlWMBmHqtPEl6fKhoQ==
bleckmann9000.gent.	3600	in	ds	36770 13 2 35FA165FB250CACA6F8D2FF92003309934698E9D3AA7ED2FD8CF4AD4B85E7D88
bleckmann9000.gent.	3600	in	ns	ns3.combell.net.
bleckmann9000.gent.	3600	in	ns	ns4.combell.net.
bleckmann9000.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. qn9cGUUsNAK4r38/SCeojPgWKxajX727n6cNQ0e1ZKPQfcmhnVGiK2hYiD4CcRYBg24fZiwkx7zH5htakLBiEA==
blijfin.gent.	3600	in	ds	40689 13 2 C31428674D70A02F7BB621193A6348B90AF07B140CC2AC3371FF564BBBB98090
blijfin.gent.	3600	in	ns	ns1.xolution.nu.
blijfin.gent.	3600	in	ns	ns2.xolution.uk.
blijfin.gent.	3600	in	ns	ns3.xolution.nl.
blijfin.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. +Mqho39pk6+8RCiOO4dCNmcepHfODI5wkDAvrkL/0KdI9UZ1ectfT45F+1c08oIOt1BircH+W3I3DrVb5NMMAQ==
blijvenplakken.gent.	3600	in	ds	24223 13 2 40D49B82442B04A43EAB208D75A2C7D1ECB41F3909823AE3468FB4CA41F84857
blijvenplakken.gent.	3600	in	ns	ns3.european-server.com.
blijvenplakken.gent.	3600	in	ns	ns4.european-server.com.
blijvenplakken.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. JJDcYRqpCCS3qP48X0YY+ZI2XG4qrc6gWi+JGnxAyLso6JFDGqhY4fqc8cMfFG2D89Inl/a2tR4Sc4uVnbnGMQ==
blockchain.gent.	3600	in	ns	ns1.domainwerk.de.
blockchain.gent.	3600	in	ns	ns2.domainwerk.de.
bloei.gent.	3600	in	ds	6862 13 2 21EE45A759E8CC0C1EC406AAF4CE6106055B518C44884D43936B5FC6C24591CF
bloei.gent.	3600	in	ns	ns3.combell.net.
bloei.gent.	3600	in	ns	ns4.combell.net.
bloei.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. BJ2RCIhinc0t13lp8fSl/OtskzNBL9tLTsM0zzlsowYy8v1OyM0LYIIQdU9AxPKoArEBmvDDdeRpF/wsnNnUdQ==
bloem.gent.	3600	in	ds	4504 13 1 A72CDDC4115B914FE2ED2FEFFE12C431A869E035
bloem.gent.	3600	in	ns	ns1.register.be.
bloem.gent.	3600	in	ns	ns2.register.be.
bloem.gent.	3600	in	ns	ns3.register.be.
bloem.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. KYVAxW0xmbGwoxPOedSeZgBMDbpR/+NTMNv/P4RhKxJq0KIC6U8MlVCL/oGja0u9eZjDgnmoYkstt3ci+b/iGg==
bloemekenswijk.gent.	3600	in	ds	33173 13 2 DD36B9BE70FBB021158B415F41EBC6D116B184492F3A6F53CA6E5726879FC86E
bloemekenswijk.gent.	3600	in	ns	ns1.easyhost.be.
bloemekenswijk.gent.	3600	in	ns	ns2.easyhost.be.
bloemekenswijk.gent.	3600	in	ns	ns3.easyhost.be.
bloemekenswijk.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. YlcYraC2fnQeVlRGvgKybqmqOMIklAYXoXVR6gxgAkNFVJeICBjJz8haO5ResU7vJhiuN2m9E6LPutl2B7yfug==
bloementaxi.gent.	3600	in	ns	ns01.hostnet.nl.
bloementaxi.gent.	3600	in	ns	ns02.hostnet.nl.
bloemist.gent.	3600	in	ds	36421 13 2 41F967B56D70B543C1B8A55D9A704D26C49D8544A6885E5E9CF10593B0642872
bloemist.gent.	3600	in	ns	ns3.combell.net.
bloemist.gent.	3600	in	ns	ns4.combell.net.
bloemist.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. RMYXkwMcljliCoWvrabalcThlPQYRg3TIvVZl8plSnxBTMLQklzKLolbKcsO4GXvS1yYnHwTTI7J0FOsKuTBcw==
bloems.gent.	3600	in	ns	ns3.combell.net.
bloems.gent.	3600	in	ns	ns4.combell.net.
blogger.gent.	3600	in	ns	ns1.google.com.
blogger.gent.	3600	in	ns	ns2.google.com.
blogger.gent.	3600	in	ns	ns3.google.com.
blogger.gent.	3600	in	ns	ns4.google.com.
blomme.gent.	3600	in	ds	43140 13 1 C1F8CA4C1D0B9B4EBC61BB18BD507DABD45D22C6
blomme.gent.	3600	in	ns	ns1.combell.eu.
blomme.gent.	3600	in	ns	ns3.combell.net.
blomme.gent.	3600	in	ns	ns4.combell.net.
blomme.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. Su1r1+m0r6M4z+GAo5sVi5SVxXbhO0CzI6o87CrKEAFx1fcmEzkpZfh8GzxCSxTx3W6IbDlqTMf1aTXDc7nReg==
blommeadvocaten.gent.	3600	in	ns	ns2.hostedby.be.
blommeadvocaten.gent.	3600	in	ns	ns3.hostedby.eu.
blommeadvocaten.gent.	3600	in	ns	ns4.hostedby.eu.
blommm.gent.	3600	in	ns	ns1.register.be.
blommm.gent.	3600	in	ns	ns2.register.be.
blommm.gent.	3600	in	ns	ns3.register.be.
bloom.gent.	3600	in	ds	14283 13 2 2C075E548847094CC509FAACB5571ED6DA6FA104BC508FFBC80B3E9DFC7C066D
bloom.gent.	3600	in	ns	ns1.easyhost.be.
bloom.gent.	3600	in	ns	ns2.easyhost.be.
bloom.gent.	3600	in	ns	ns3.easyhost.be.
bloom.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. sKhFcEzLHOk4N+cAXUTnd8OtjRtOZfgFvbeotefOKc1HimXLIIKji1+zmzLFS+mAinqpOSCvYsWIpPFASVXIkQ==
bloovi.gent.	3600	in	ns	ns1.hosted-power.com.
bloovi.gent.	3600	in	ns	ns2.hosted-power.com.
bloovi.gent.	3600	in	ns	ns3.hosted-power.com.
blowerdoor.gent.	3600	in	ns	ns3.combell.net.
blowerdoor.gent.	3600	in	ns	ns4.combell.net.
blptdi2ijlfbvmg9th499ksg02dmhlrm.gent.	900	in	nsec3	1 1 0 - BM3THUIRGNJCNEMLL862R6KEOT2E7MOV NS DS RRSIG
blptdi2ijlfbvmg9th499ksg02dmhlrm.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. 9bKbhXBCykVfenzV/Bo/IVnA2XypDSfccEcwP2wOTaieLcJ3PgXTorDiGxsmTNRw5KuuU34GFFl73H/9qODOjA==
blue-orbit.gent.	3600	in	ns	ns3.combell.net.
blue-orbit.gent.	3600	in	ns	ns4.combell.net.
bluebird.gent.	3600	in	ds	6388 13 2 0EA7F3F97058D609CBBE9D485AEA7508268A6D26F1C391F4AD670412B8F5771D
bluebird.gent.	3600	in	ns	ns3.combell.net.
bluebird.gent.	3600	in	ns	ns4.combell.net.
bluebird.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. RWal7giPoOoGQcR1zepgYfhm3TkY2cmXRQO6KO6KUM+WYc/lPC6nazsqWdMzUnWNF9LJmBjrSrMHnliW25yu+g==
blueground.gent.	3600	in	ns	ns3.european-server.com.
blueground.gent.	3600	in	ns	ns4.european-server.com.
bluejeans.gent.	3600	in	ns	ns3.combell.net.
bluejeans.gent.	3600	in	ns	ns4.combell.net.
blueorbit.gent.	3600	in	ns	ns3.combell.net.
blueorbit.gent.	3600	in	ns	ns4.combell.net.
bm3thuirgnjcnemll862r6keot2e7mov.gent.	900	in	nsec3	1 1 0 - BN0GCOG92V3QBML9FH7UCJ0V34HV8FR6 NS DS RRSIG
bm3thuirgnjcnemll862r6keot2e7mov.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. RSIc2fGkWcJ8lg47Q2hy17nIc6r/mRsj5y32AkqG0IpnyVTN7XHZtszMiQ/Oeu8eV84IyjFLFuikeVLVncJZ2w==
bmplace.gent.	3600	in	ns	ns10.dynu.com.
bmplace.gent.	3600	in	ns	ns11.dynu.com.
bmplace.gent.	3600	in	ns	ns12.dynu.com.
bmplace.gent.	3600	in	ns	ns6.dynu.com.
bn0gcog92v3qbml9fh7ucj0v34hv8fr6.gent.	900	in	nsec3	1 1 0 - BNHCF6K4DK4SBRFI0QMBDO6NEKDI77OI NS DS RRSIG
bn0gcog92v3qbml9fh7ucj0v34hv8fr6.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. tASkQt/pRLGrquw7IgFI4x5JmyqJs9h1K6npvUpdPpt8ZzLiZK2mYScyCnyqP7AMHCW1M6GlhY96KcP9FLCn3w==
bnhcf6k4dk4sbrfi0qmbdo6nekdi77oi.gent.	900	in	nsec3	1 1 0 - BNLRIL107A9KMDQRKU68H5QVR89O30C5 NS DS RRSIG
bnhcf6k4dk4sbrfi0qmbdo6nekdi77oi.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. RxqKpbj7E1JoC+OX8z160KzJS6KVX2zQf+zs3Ww0ECpRRFJnublzC/91FLK/l021OY6UXcDt7qcwtchGEtRy5Q==
bnlril107a9kmdqrku68h5qvr89o30c5.gent.	900	in	nsec3	1 1 0 - BNUIHA73I4CMKN19QV8H52294QIA78SE NS DS RRSIG
bnlril107a9kmdqrku68h5qvr89o30c5.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. dhWmzSqaUNknEmP7zwW9NKf20cdOCxujJdH16gNpajJIG5WvtIQJiXq/66A8bfycfM0JwsseHbZDzvo96rc5OA==
bnuiha73i4cmkn19qv8h52294qia78se.gent.	900	in	nsec3	1 1 0 - BODREJDQR9IBINLSBGOALG5I90RJ110O NS DS RRSIG
