ryukyu.	86400	in	soa	a.gmoregistry.net. noc.gmoregistry.net. 1769302942 1800 900 604800 3600
000.ryukyu.	86400	in	ns	dns1.onamae.com.
000.ryukyu.	86400	in	ns	dns2.onamae.com.
01kseh8jjtascr5groajk84ecs135dhs.ryukyu.	3600	in	nsec3	1 0 0 - 037OE7EOK1A533FESDFOB59H5MLJPI2G NS
01kseh8jjtascr5groajk84ecs135dhs.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131035437 20260123184615 45091 ryukyu. buYKmyqmGS481tdWNSRzLKUgm9+6DuQSxW3phvO2xfXMYoLS5PxoZxPiTlngeLDczqQXxkKpa3OvDt06QOoX8jEey0GfiRbquy5Q6KNfwMHe8P9oQ2LSStmyMHH5Cmp9EO21mubu2zgp8UceSx5PupgxJGfvg+8xA05dzh/odeU=
037oe7eok1a533fesdfob59h5mljpi2g.ryukyu.	3600	in	nsec3	1 0 0 - 038F3Q42DCUO1KQOQ4D1BS9I1JI50MRO NS
037oe7eok1a533fesdfob59h5mljpi2g.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260127174758 20260121041412 45091 ryukyu. EmBrlkYrebZTKKsfiMHrl/4Zg4bww8aNJB6immXWIVHhoOBZ521FLWe5yONs2pygV0oxIhZ3wasFVlIElvmwBi1S7GTeqe53AxLgifFOXpn3UdARDzDeqy88XbFG6/R9ZdycvWrojclzz1ZcLtiufNpqURv5Y8zYbqzpbKtbO2s=
038f3q42dcuo1kqoq4d1bs9i1ji50mro.ryukyu.	3600	in	nsec3	1 0 0 - 05F03MHJ2B34DVEHVT11LFJ6M7GTO147 NS
038f3q42dcuo1kqoq4d1bs9i1ji50mro.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260127215052 20260120120412 45091 ryukyu. WrBtL/rihkPnJtligfSV63WWcDjXouZajTOVhM1NiZIcSKBk0KwEvS+lA64EsneAb1eUYmWFhkuza9Vuq8eQqwj4XZgyXeYjswzhG3cPsuwpAuWyPHrAYjZ3mKLl5UIQpxjAWTNfDxyoJWdn/Kp2rarkfMITwejPOI/91NfUk9Q=
05f03mhj2b34dvehvt11lfj6m7gto147.ryukyu.	3600	in	nsec3	1 0 0 - 05PGF2GCDM2KAS3CECUMHTED0T449UMS NS
05f03mhj2b34dvehvt11lfj6m7gto147.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130125253 20260123142710 45091 ryukyu. Aao3i2lr1+c/t9xy4zcZCa3L0HYuh/gkd0m/mZILEUyMxe9CcnWfgrW3eBS6/BQR9YTjm9CZ6OkUsJTn4s0dtWoH0xLmTzIHqOFSu65szbwxdu243g913VxaFb8Bs2eoWi5Srcggt7gdLqgKqatS9eWSImD+V8gXeL8cAggOcZ8=
