mobile.	300	in	soa	ns.trs-dns.com. trs-ops.tucows.com. 1767662118 1800 900 604800 300
101domain.mobile.	900	in	ns	ns1.101domain.com.
101domain.mobile.	900	in	ns	ns2.101domain.com.
1177.mobile.	900	in	ns	a.portsdns.se.
1177.mobile.	900	in	ns	b.portsdns.net.
1800flowers.mobile.	900	in	ns	dns1.cscdns.net.
1800flowers.mobile.	900	in	ns	dns2.cscdns.net.
1xbet.mobile.	900	in	ns	dns1.safenames.com.
1xbet.mobile.	900	in	ns	dns2.safenames.net.
1xbet.mobile.	900	in	ns	dns3.safenames.org.
247365.mobile.	900	in	ns	i.dns.siteprotect.com.
247365.mobile.	900	in	ns	j.dns.siteprotect.com.
69420.mobile.	900	in	ns	i.dns.siteprotect.com.
69420.mobile.	900	in	ns	j.dns.siteprotect.com.
7acht.mobile.	900	in	ns	nsa.scaleway.com.
7acht.mobile.	900	in	ns	nsb.scaleway.com.
7acht.mobile.	900	in	ns	nsc.scaleway.com.
7acht.mobile.	900	in	ns	nsd.scaleway.com.
8675309.mobile.	900	in	ns	i.dns.siteprotect.com.
8675309.mobile.	900	in	ns	j.dns.siteprotect.com.
8888.mobile.	900	in	ns	i.dns.siteprotect.com.
8888.mobile.	900	in	ns	j.dns.siteprotect.com.
a-league.mobile.	900	in	ns	dns1.cscdns.net.
a-league.mobile.	900	in	ns	dns2.cscdns.net.
abb.mobile.	900	in	ns	a1-226.akam.net.
abb.mobile.	900	in	ns	a10-66.akam.net.
abb.mobile.	900	in	ns	a13-65.akam.net.
abb.mobile.	900	in	ns	a22-65.akam.net.
abb.mobile.	900	in	ns	a4-64.akam.net.
abb.mobile.	900	in	ns	a7-64.akam.net.
abnamro.mobile.	900	in	ns	dns1.cscdns.net.
abnamro.mobile.	900	in	ns	dns2.cscdns.net.
acana.mobile.	900	in	ns	ns1.101domain.com.
acana.mobile.	900	in	ns	ns2.101domain.com.
addleshawgoddard.mobile.	900	in	ns	dns1.cscdns.net.
addleshawgoddard.mobile.	900	in	ns	dns2.cscdns.net.
adultswim.mobile.	900	in	ns	ns1.timewarner.net.
adultswim.mobile.	900	in	ns	ns3.timewarner.net.
adultswim.mobile.	900	in	ns	ns5.timewarner.net.
aero.mobile.	900	in	ns	i.dns.siteprotect.com.
aero.mobile.	900	in	ns	j.dns.siteprotect.com.
aflac.mobile.	900	in	ns	ns1.markmonitor.com.
aflac.mobile.	900	in	ns	ns2.markmonitor.com.
aflac.mobile.	900	in	ns	ns3.markmonitor.com.
aflac.mobile.	900	in	ns	ns4.markmonitor.com.
aflac.mobile.	900	in	ns	ns5.markmonitor.com.
aflac.mobile.	900	in	ns	ns6.markmonitor.com.
aflac.mobile.	900	in	ns	ns7.markmonitor.com.
airbnb.mobile.	900	in	ns	ns1.markmonitor.com.
airbnb.mobile.	900	in	ns	ns2.markmonitor.com.
airbnb.mobile.	900	in	ns	ns3.markmonitor.com.
airbnb.mobile.	900	in	ns	ns4.markmonitor.com.
airbnb.mobile.	900	in	ns	ns5.markmonitor.com.
airbnb.mobile.	900	in	ns	ns6.markmonitor.com.
airbnb.mobile.	900	in	ns	ns7.markmonitor.com.
airliquide.mobile.	900	in	ns	ns01.airliquide.com.
airliquide.mobile.	900	in	ns	ns02.airliquide.com.
airliquide.mobile.	900	in	ns	ns03.airliquide.com.
airliquide.mobile.	900	in	ns	ns04.airliquide.com.
airpods.mobile.	900	in	ns	a.ns.apple.com.
airpods.mobile.	900	in	ns	b.ns.apple.com.
