bayern.	86400	in	soa	anycast9.irondns.net. dnsmaster.irondns.net. 2509120103 7200 7200 604800 7200
c8fvvndcdaa97n8bjlu88hakqrnarmvb.bayern.	43200	in	nsec3	1 0 0 - C8GUUE0FCKCS9Q1C8E7FR3GQBMRBPDO6 NS
c8fvvndcdaa97n8bjlu88hakqrnarmvb.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. SrZdBwdQ4e8Ind5NEmh/kSWA++Z8btIfFB2EH/dDhpGIFN9D0rMKOV6VYQ/EppzoYbuqbk71L4C/TveEG9rKqhKIg2rpGbAws89ospuzWWUTI2H7mqQ2IpRUe82fb1oK6eePl2cy8IHC7LiRut7K71fEuuwZW5RLOyxkmvxkX1Oam2eGNZNcc2M2/P6t+I6F8XQ1ZcXm9ZZPphzvVWjGbA==
c8guue0fckcs9q1c8e7fr3gqbmrbpdo6.bayern.	43200	in	nsec3	1 0 0 - C8HVQH3ARPMF904G3IR7EICU0EOA32I0 NS
c8guue0fckcs9q1c8e7fr3gqbmrbpdo6.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. XiGBX/u0FBx9d5lRJSd/MWHaznXpRpoyR9ryI6nuzOZXEW/Q8OzH5ykpfbN7J32BhYnYLuLo38f/f2GggUD1X2PnuiW+ZdP5zmR9K0T1N0shaDfZOz0R+HrV0Hb4PFTEiLc/J53DnDpl1DsxgYC75tQ+C5IEMGOsh5PO19O7GO9crWueMohlLdXd4YN0ImNk0YvLYZVdZJlUATV2mJVZGA==
c8hvqh3arpmf904g3ir7eicu0eoa32i0.bayern.	43200	in	nsec3	1 0 0 - C8KLQ89S3M6B0OJ35T5KUGJA48DEITSQ NS
c8hvqh3arpmf904g3ir7eicu0eoa32i0.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Al0yFJji//A+5ZSp15WbluockpByPl4Y/xw3SDA58O14koH7arvd7UQkhDkRSwc2e+0wDsf/IbUdUVS7k5yco4aHM3WGL5YNdlblKyjeXN+gZkjS4hQchMmthGoiIVuhQzn3ef68UFi+6DmC9OcC7a+m5j+8qVZXC65mDRSKcj+hW6PkN6v2pVuIdFON25Aag66iZoRIvyRfsY/qb/704A==
c8klq89s3m6b0oj35t5kugja48deitsq.bayern.	43200	in	nsec3	1 0 0 - C8L1T58U49BLMGO3CLMQV2TGC3K5J974 NS
c8klq89s3m6b0oj35t5kugja48deitsq.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. HUEMAL8AVPJHoxM0XgyxYi5zP5MlXPC3sYiDI/TE4SbNcXeQJZa9STkLsH3IDFAiTJm+WxP0eqvGtBbNDEWa/gI4ZxSAeEvG1ymfTw5ts0tehhipu8ReHb5zQqdfiAGb3smqy8Cj6kaca1bS5dSw8Lpn1cfb/CtcdinQA1zoO18a6Vzw/eggIblzqOIiC8uyP/PpPNWfJhBBpx6y8qNVUg==
c8l1t58u49blmgo3clmqv2tgc3k5j974.bayern.	43200	in	nsec3	1 0 0 - C8LP57V542NAODS8E3SAT3GMIOOR48N3 NS
c8l1t58u49blmgo3clmqv2tgc3k5j974.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. V4fk1ak1LbK4JcVGS3X/+MnCcz5ljDQphv2P9vrSIEOaUwPywA1ptIplSdUB0U2FqUTmR8jWaZ780gJ34n3nCNedVbexX/U1TS6ZVTinyl7NvXB4p0ZxNwPXdUSi/e3dz+Jw/q4CxJ77tuwNJ7gJJtPh+D3Q4VBAVDvh1M24V75zZuFc1nYu4cD3dT7zRTFKta7UMtTzthu5bEz/en8hSg==
c8lp57v542naods8e3sat3gmioor48n3.bayern.	43200	in	nsec3	1 0 0 - C8M1DTEUMMRA3IDGKJIQ9DN6CGJ5DPQE NS
c8lp57v542naods8e3sat3gmioor48n3.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. lwAISXPjAomYGEgh4EJb7FHjvUJlqhD6dMkiGf1DHemYx2eTw7qyIdTcEJ7zE66fp2dvjx92fNmcxxWwz4OmqHMjkNf3iaieCAbdKZV7tiGo+ZdurkIa0zdPWbCC1v9kLV0n6A6xSi12OTTzLg08h3vs2307zG2nlKLhKAdd8wzC0AGtvq26U3uxWHUU/CX4NYmd3yXkUJqFhFSvJ0Jmng==
c8m1dteummra3idgkjiq9dn6cgj5dpqe.bayern.	43200	in	nsec3	1 0 0 - C8QN6GGO31P0K1S6V2HLVCDC39EPC7B6 NS
c8m1dteummra3idgkjiq9dn6cgj5dpqe.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Wf93+YBf92a9cArUIoAtH5JeZffn+GdxgwvbrXtcVJH92rYQ7xJHlsDeRaSVmP4OVuRhU8BlpWKtMOFuQ4PqB/x5ilG595JNnl2Y43aHu5VArEOBdjsJRjPR5bwh/pvISBf+670pNP2EFY7PSSrFsQFDQrYdFyzAFj48CA2wQ9kgw4I8nIcHbwCkbOOJVnOhpCDQFPaHr9SJ9n64jr3Z3g==
c8qn6ggo31p0k1s6v2hlvcdc39epc7b6.bayern.	43200	in	nsec3	1 0 0 - C8U9HS3O5GLHPV5NO9KMQN8UP9UCVNEJ NS
c8qn6ggo31p0k1s6v2hlvcdc39epc7b6.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. QkabEilIWqj8DN5uzdrsUb3du22Sjy/hBJPFKq3TWSjt8Hd6DHSjQGVNdYIUzUQPfkEWn/HLuGSyB4zjiJvKcR4ycq+UDWsuDgoK8p8Bv+koJgNqdHLl361VZygjUDP5YKldAOGjvghaS1NydPY8961Lq17+2gqQQESyvTa/O/fVPHUrLA4Ry0X1xDowF4H//XwQt91JM3d3ji+iPpq23g==
c8u9hs3o5glhpv5no9kmqn8up9ucvnej.bayern.	43200	in	nsec3	1 0 0 - C8UKVOSPGJURQUS74GOM5G5PQD9NSMGT NS
c8u9hs3o5glhpv5no9kmqn8up9ucvnej.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. UX8XutH86uEoa/Z5CJWv2P4BkMtlUcYDe0rJEyqlpROOXCnDu1n6dsa9M3f8isCkAoDQ3dz2kfa/3+h9kmizXccBPJrvQiIBqFKl+KKPx3P47QtUGjh4Cv5vDYdOZl0Qh/zRf4IYHlYoXnJ9AwBWd1iSt3O8H7Ga5lx3F6JFLGN34lguXIXvIJPWYcfZI24lp0zu3UlfrXI/Bp/JsWBoqQ==
c8ukvospgjurqus74gom5g5pqd9nsmgt.bayern.	43200	in	nsec3	1 0 0 - C904S80VEORIUJLO4OT0SDHVBL7FAKG5 NS
c8ukvospgjurqus74gom5g5pqd9nsmgt.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. br7TgF+reoYAGIGgOOQa7/BLZbLCpHnjZ2cSaJtIgKRf4mnhfaqamw+U4B/05BZzutEpk0Fj+bwvyohNwiCrTu1dIrBxtqMktPWSScwnyL5eCJirf8hvamPkHxn4TwSF75p7BLX2E0kBa+h7JqL7HV2Dl5y7KNlo1s8kW1UXAaW2WL33SzHKn7S+6ETWrmkAmdbY7uT6SfShLHYer7BCYQ==
c904s80veoriujlo4ot0sdhvbl7fakg5.bayern.	43200	in	nsec3	1 0 0 - C92873T8AEFIF0CJ6BK7QGPQFMT7A160 NS
c904s80veoriujlo4ot0sdhvbl7fakg5.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. fUPhXh5RRCyDd4XRTiADq0EDxgnDTE7T7OHvQ4Z8smBywzFZSQdz9BTq5nXt4uqXfx8G+NLFXWPDYT98L8uJ170VUYPOhEwhAfLi7qix9QlsCSstLcY+FIrfFWWSYe23lKifHzQlyCaQylzSdmUlD6zX+ivBH7j/Z7SsTtvlrmUMhcVYnAfnkD1XN5muk2XXmeJYGIpE6gABKZzx2RUrSA==
c92873t8aefif0cj6bk7qgpqfmt7a160.bayern.	43200	in	nsec3	1 0 0 - C937HTOKR65G8H12Q46U4AQ96JKAMN6A NS
c92873t8aefif0cj6bk7qgpqfmt7a160.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. MWjRO8X78twzdlKw6HQH347/Sk8tJKv1SrqY2AB5frKFwGBsZ7t17e53neqjFERW7017tD0bWaJpj3rgLf5T9e/jEqPZWw1gXKitqJ85610UQ8yjTVn9xygH9rlz1G4s3SebnYNnnTpDpn20f59YvQyePIloGsxe3D4yS3Qn1EnN9eOQBBMEHrDe96cr4KcQcXtR+F09kfhJTwER1E8kNA==
c937htokr65g8h12q46u4aq96jkamn6a.bayern.	43200	in	nsec3	1 0 0 - C96OVVI7VQ1I1UQDEJED2KNQ792CO81G NS
c937htokr65g8h12q46u4aq96jkamn6a.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. d+PNN8lryVInofcN+wgMfgTe2OYyDMPkrQqqy04r5knOIHg+ltl0Oms0kze9GFRj0fQemrpJHQqb2X/7FVJHbKqhcan6NAn5MxpZGN3PlSWPZt+O7/PRR4ehKmkjWWlvjomMnf+kTDff4i2khl1wuf6DuEF/UTXKl/oCkahZd+QEf3qixKhhUDwfA5qyZidqhdhFCh9ZnXPO2FmNwmBHVg==
c96ovvi7vq1i1uqdejed2knq792co81g.bayern.	43200	in	nsec3	1 0 0 - C98NQ40M197HVUPLC5050J60SRGT50KH NS
c96ovvi7vq1i1uqdejed2knq792co81g.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. jMklF1mVqJfzSVVlGUapNekV8z6RRcRLhm0G9ABKs1SlntTC9g4ML4drVCRxN1Mdl5ZgTAg8Tgruj1A2rsYZZgla/OoI+Tc/cin/uILv78lMr/EXl5J9SSd8Qtp9mchl1yMwvn1UPN9LLPRo4Hvd2Ms4fcau+FHVEXU41xRVF8WRw7ERx4OsP9fMgdAxDGvOUwWMdNAD/xQm4TIxJgMZ/A==
c98nq40m197hvuplc5050j60srgt50kh.bayern.	43200	in	nsec3	1 0 0 - C98O7K5SC6G0HCVJPRR1RV9C5AA4E0UU NS
c98nq40m197hvuplc5050j60srgt50kh.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. IGZMp2Sxz0/dSxn32hDmkkFjr5hKx8vgZ6j7jaactjYbbLgAUnNfK6SVMKnM0jED8Vv2juRc5wAoDtprYqmcGb27b4B2GoLx5zmui85mp/iNzxwZazsneeTq6Nyw1LxB1sItqhZrALLFA3llYuvUqb4I+pZ1L7i6FZKRZ4Ra3qpnGv9q3kEUE/ecDMZ7ZGaNV/HwNMqhqzgbJp9DPnm61Q==
c98o7k5sc6g0hcvjprr1rv9c5aa4e0uu.bayern.	43200	in	nsec3	1 0 0 - C98P4GVPBG2PIF319Q3LB1N2ME1E0QF6 NS
c98o7k5sc6g0hcvjprr1rv9c5aa4e0uu.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. gSM6zPaKfXozOfQhx1I0eVKeWLp9Tq1mnBsUyG1teVEKM3lUsYOPN3fJkN0j35pCJtiqQ/pY6hwZQvMgjA5XeuVoqdYF8s91ij3qPr74WGTwBiyerEx+/KcUTcjL0uPG8HcrCFq/8O8Gdq+DzhB8turVwa4+YMMuGirj8Z11ir5FiBTd5nepCrH64eHCOWxoCd6buF+JOrgDeU9vAEFTUg==
c98p4gvpbg2pif319q3lb1n2me1e0qf6.bayern.	43200	in	nsec3	1 0 0 - C996S4MQ4IR8549ND15HO6D5MQKRV5S3 NS
c98p4gvpbg2pif319q3lb1n2me1e0qf6.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. nri0SYTZDvvh7683YqgxTeq7Fl6XV2J3qXyBQ/8qKAuxCNUYjjofRHQaLLoT3Odq1VagHvnu7rA5Ve5wVPIxYw3GWGJiNWDGDa+hGBlF4quEsenlvq/HlbPjkQDswmTgoDv5viA5w1LbyvVYefhhslL379LhVroJPSzDPg4Yj5T+WZ+SGVZ5BImhwgd9t61S9+mIErltWjIDvAy+8h6YBA==
c996s4mq4ir8549nd15ho6d5mqkrv5s3.bayern.	43200	in	nsec3	1 0 0 - C99ASHNSOBB51881BK8JJ7QBPDK0S0MA NS
c996s4mq4ir8549nd15ho6d5mqkrv5s3.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. id9PCnp+daISjBudct+ZKyOLMFGMgAeEu8aHRcuASwB6UXmQwvsEd8o/afraifARyeEARY6pXwrAdVk0IxzGA06E2IIuPUs9fQ/UQzx76j4mnkmddhNrjpBwITx7ken6EWpG3Ar5X/0rJYzVIrMq9UY38B5WZ5dRqC9N/toUsK4Qihy7Ccc2z69MKCm8YBVLsj+ZkY9maD/gGJdj9ZXiBg==
c99ashnsobb51881bk8jj7qbpdk0s0ma.bayern.	43200	in	nsec3	1 0 0 - C9CNCD2NCTQS4227LEAGR6UNM824J91V NS
c99ashnsobb51881bk8jj7qbpdk0s0ma.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. U2Nqbf02XvTCSZUskSrbpyrOinsBZ3ZJKMSi45QPQqdziOmqxCl/2aGeuQkOIJDX0vkTl/gyzOyn+mSg5yj9iBgufUIje1jXGta90cCz98wXEB0ycBZjFaFRqe23PZME7W3OVkt8WaHqoKnLzn/5K17iCzCZ5pyaGJ0ZV6plx4lgRa6o5e7p6a8gmpmeC1cRMZo+xAbgetd0gpiG28pKWg==
c9cncd2nctqs4227leagr6unm824j91v.bayern.	43200	in	nsec3	1 0 0 - C9ED9RGP69BVM7LGQC8JOCBHIN3UI721 NS
c9cncd2nctqs4227leagr6unm824j91v.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. T8X1JMMar1dn2Jvx85P6aSVbp/obw23SR3iVhRsCy9Ojnj8qTusHvpgf9Gzi0XzZgCYoMKhhwpGg7ouW5Rm9+v2AkgsezGt5wo+9QW9/UzAUbbCejo+YTGLEc8Kdf+e//pUjwj2cNTy4/u0oLlp1bG+iyTivqK3CEwQE3Ntv9JcrAeo25OJBHy46DmW4nDhuDCaAdkWA3syRdcBoQGtb1w==
c9ed9rgp69bvm7lgqc8jocbhin3ui721.bayern.	43200	in	nsec3	1 0 0 - C9FJ1ATB54O5T0OB5AE5JVDEQH97F7E8 NS
c9ed9rgp69bvm7lgqc8jocbhin3ui721.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. AKBFR8hP9UUhOSXo61Mu/JA/JPx3ddaKQi3f2thJP+Gr1VQJmv7Ry84IxTZDZg3W+f3NUQvWJJNjfzIX1t6UleeZh4/TSW0O9dSePUyGBJu+0b5jZbNc+p4p1gxI9/YvD092X5yN+gg9qlURxfyP7NGS/uAxKKHiMwXxrXiUjzJJjYvnzUTK1NsgU1LVeEdOsFZFmIiEsMw2LPi0FV3vUg==
c9fj1atb54o5t0ob5ae5jvdeqh97f7e8.bayern.	43200	in	nsec3	1 0 0 - C9ICBV4PKUH4GF33TO8TI9SVJONS5H33 NS
c9fj1atb54o5t0ob5ae5jvdeqh97f7e8.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. asZZeEfXPAU27Xx6h5NFZDrjMx250erCdqCBF2xWwHtgpR/ZhKqMwqXPvFgnyjm/m7hMjtK/xg6usAyslrpCQz15Jg994kiIYTQV9+EGLYLhuDpdwvUNCnmxIy3FePWW+X58GVBITLghf17YmMyTpSJCugni9LHJfh07lO9DVo1AQoQKnB3QOiQ4GguduAlZPd5OHgmY5fhEiZTrW4A3RQ==
c9icbv4pkuh4gf33to8ti9svjons5h33.bayern.	43200	in	nsec3	1 0 0 - C9JH07FOHJM0MISU969KA129TMQJF5D9 NS
c9icbv4pkuh4gf33to8ti9svjons5h33.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. KnreOVMrgpWHk5cPAwgO26zCBWFWseGdy9aNU4YQbzrLmIXJIgkBlyD4UEpCLTBPNABG1MF3QpQpQ5XkCUadsheB7Yahuy5IP5BEked4uSMo9HGUyoQD5OvZUZGeMpHjO7XcrZftOHjVeZq9eEfReINMRNw1y608IZiYH2ZfUdzD3jA3S17Cn/bmvKJitQYfUe4Jhub4+Y1NtbQvjpUuUw==
c9jh07fohjm0misu969ka129tmqjf5d9.bayern.	43200	in	nsec3	1 0 0 - C9JO2G1LRBD89BEKF7P446B50ETN8FGA NS
c9jh07fohjm0misu969ka129tmqjf5d9.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. RSJUnGisnqk+g/66kTqj798/q9wR3jLvx1+lF65h91AuYecLi7qCcm3IL6ITe2JceqO1jS1wWX1Hct3w9LbX23W+cpIuDGqXoLbE2Ah21PmCiqZ/160zhUixICM1gxy2m8B1bYf1OSlDZR1d/ujn59iVdGd72QswWnNVUSthOW024L2TkD1EChygeuQTPp230I20p2A1E9MLnXGzepeDJA==
c9jo2g1lrbd89bekf7p446b50etn8fga.bayern.	43200	in	nsec3	1 0 0 - C9KONF7MR8GP4PQQENQ05HLO4I61ETOH NS
c9jo2g1lrbd89bekf7p446b50etn8fga.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Y6mmRyC3wjellIuV40XU4A1I/biGhKo3sIaQ2sOAXjEO7ndAnNkM9x3Udny+80iAwbcs/WsA9kqj3Wj2v2H61tCZ4/+/JlI00Caju4pTcs4uNLKjMbZJECPCOsxM/XQUBSW2UCcBKOf/49kx9lPZYCpUx3/wR6AVGyQ7dTLuOTh8WNsNXBNM8UlvMLyYs/be+AZeZ8b6bBBEb/qSjJdgvQ==
c9konf7mr8gp4pqqenq05hlo4i61etoh.bayern.	43200	in	nsec3	1 0 0 - C9LEFN94R0TCC348OKVUN60VH59307N7 NS
c9konf7mr8gp4pqqenq05hlo4i61etoh.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. B4VvRaXgmzhOLLVhKCKcoJC8D0xwL1lSDaP+aQL26mWphfVIcPLPfDKvMK9gi7KF4I3frutKkr6CDAjuBYc+fOfO4fGO1R8c5Pm6HQu5ya+eE+8OUtDMzI1prHePtKdKbzB71Xr7/H/K1gMEjIzwVDuI2ajDfivgYudZuI2oMS0aWQ0OWlFAofnR1ntp/CLnsO11D+qojk2KTY3UcYbpNQ==
c9lefn94r0tcc348okvun60vh59307n7.bayern.	43200	in	nsec3	1 0 0 - C9LU91KJ73810QHJFUU1DMLODJ13UNN1 NS
c9lefn94r0tcc348okvun60vh59307n7.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. OP+eteETGJTsWR1Jkh/u+JV4LL0MhfEUu7um+HM51Iheuyy6TF/MalijGkxkWDyRrN7D5ENE1U83e1ZeQSMcocckue0uNivKBkrrDjJ7eF/rx8EmWhN7h4mOurJqiBnc+J7Z4efo54MejlH2DNkVgxCn+dKLwEJO/9vA9slryiby7mOU0YIq+9yYCd+I7OvuaAC+aPvwhRuroYaVJXcJHA==
c9lu91kj73810qhjfuu1dmlodj13unn1.bayern.	43200	in	nsec3	1 0 0 - C9MH0F252JIGTC9CBCLI9QO9FJK2VLIL NS
c9lu91kj73810qhjfuu1dmlodj13unn1.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. USy+vApS3hfS+D2+dajuLvMyMz4uXB/rMYzoea3QlEtzu38+qc42Vb9Wo82bARSCWOEGKe9yasIPTwI+zZREoXjTkS/vHPSwb1DOaQ4GjqQ41utfkEg1B1GsyMeOlwNOm7ua+yZSqbCliejl0MZ/P6xuLQlBzvdP9xYO1rr4x5JPEwmGKaO0MeJyCna/0vkK9IbX8i26vLFonSIh0Omvow==
c9mh0f252jigtc9cbcli9qo9fjk2vlil.bayern.	43200	in	nsec3	1 0 0 - C9NJKSNPHCCCVE8EOC857LTPLA9FUNCK NS
c9mh0f252jigtc9cbcli9qo9fjk2vlil.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. SI6FSzLhe673u6mfCrN3wiLvLqUtBCPR5pOLGNSpfSJk1DTPvDC6ywkQ0VMZORlq30CrDaBwMATIlZtuAHOhPd1LRj+5xU7mAArkiZ8kRYPNmynBbuEdtvyBzzIjR017APfpv3Ygtld0pmVULw2QHVV3dUG3QLBB5dIGRIRCDTxfgBZTo2CoktQELBqXrh3vDabxY6pwHOhH5ngpCe/eNA==
c9njksnphcccve8eoc857ltpla9funck.bayern.	43200	in	nsec3	1 0 0 - C9OMF93BO3JTD3B4OVCMB9EMV4C8PJLM NS
c9njksnphcccve8eoc857ltpla9funck.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. OG04PAH7ASSJmmQOtuD7AzAsuQukjn4bnM4EZPMED7fOKzAl6PMc5UNsicDDMIZDa90UsvqXg8YlluZN28gC3dqbvv9ILFv434OkMDPMXI/jMTF+NGjnNgBWTDz7NQxfEE4ZEpAAWIArNt+tpaDEnr1LqjX5ebM7Npu+tQkQ2JTQtOpp2Pjy9rmuPKL+ch9XHLYf1VN8uklcEbn97GfulA==
c9omf93bo3jtd3b4ovcmb9emv4c8pjlm.bayern.	43200	in	nsec3	1 0 0 - C9OP45GAG7VMEDMST29V1QT9H5OQM844 NS
c9omf93bo3jtd3b4ovcmb9emv4c8pjlm.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. WGUZc9VqSpLXBjzTEj90ZdA0RqdYrH2CL5ESfSrTDbsZHmkVtvwwQFcteRB7H5nGjNku/6IfAny8yXzVdG8ie8/ItjJ+8RMv4gbfrUKx1rJFjEPz+pRpSIlgQrjrYjwBdjKx37VrNpoCwmo2z79anIxP3i/DWOMCsAWXx7TYjrrKOBQibdGkahBN3haXgr790Yk8YsHHCFeAGCuQKf3AEA==
c9op45gag7vmedmst29v1qt9h5oqm844.bayern.	43200	in	nsec3	1 0 0 - C9SJVM71BHT26A9VAKIN01Q48MVUV4M3 NS
c9op45gag7vmedmst29v1qt9h5oqm844.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. XXkWC/F/oGvWQ8gBdGHq3keFG4WWA5rHxOLckzt9N71WrhH3yTGTLgI9KndoB1sVfyGXMFHi9lFzHpepLzpTaH04fY4fceaXziQVDdUSbsXzi71tRnwuJ0McnmQ3LG9JzRNOs59w1gxtzuKxdRcbzIlo4ic3k1Mq+lRx2ovM9VUVYfItyWGhnkVs9VhRfhEd3O9bD7S5/Aj4Tkq0qigNjQ==
c9sjvm71bht26a9vakin01q48mvuv4m3.bayern.	43200	in	nsec3	1 0 0 - C9UPSSTLF85OF4P2BGG67723N514UCRR NS
c9sjvm71bht26a9vakin01q48mvuv4m3.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. eC/gGzKkFluDhriyKpKf42s02OfbC2e6MMehbmLa3Ag+mhOUovYKP2+55eggIV6+OgdO2JE3Aq+EZevn3f4CeUZql+ACNFbzfutyZ+Ix83rKBuyp6PqtcM8awoie6sMG+ZoFvjNI6U/tz4AV9QeVzdCkkcwsgw61EW2dnU1fKG/Bqw1g3Gp3y5BEEEXlPFnUIy5LvzhiQxgANS4CDp4m7Q==
c9upsstlf85of4p2bgg67723n514ucrr.bayern.	43200	in	nsec3	1 0 0 - C9VCU96OGT8NENIHB8618N9C3SOPQ5JA NS
c9upsstlf85of4p2bgg67723n514ucrr.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Xu/qjBs3qyMtUtaB6hERC6o2+mKBtd9mP6xbqFoHFpoWqRRwE6saRwIdANz70iQHtiDvKYGxhCMgVUGmorVwABrgwwv8j+FiJAOkrQZBVzzjYt7rLoSDi8v79dOsWs4lbGnL3jKokILGUsjwKXSEfUgj053wAOeKHx6vt8stDPz7U3dBnoz1LOAWufo4+1H7I18hxnnxsZQwsmEUxF16KQ==
c9vcu96ogt8nenihb8618n9c3sopq5ja.bayern.	43200	in	nsec3	1 0 0 - CA1C23LOBVPDQF2OQH3K6LC0MH9U4K4M NS
c9vcu96ogt8nenihb8618n9c3sopq5ja.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Gbz88kYp6AbdTP/IhsUQWSrgC9CVEYfU6O+oYY2IdY4kj8JS5DlT7r+uC9SndLV5zKzR+RnJC2HpPspmSgehE+WlnMA2c2ct7ZZCuj1MN1YtzoxPbLuIw/FxANFde/CqEUXxLhiDfO7RbTiwDVK3X2INiTZviZDabGF1nyYfwfLU/Z5LPxU6w9GoYIfmM46krWEgiqOv7BFgl10IvsfaOw==
ca1c23lobvpdqf2oqh3k6lc0mh9u4k4m.bayern.	43200	in	nsec3	1 0 0 - CA26Q0JBTMRI8HVBEAT2OTB248V572TA NS
ca1c23lobvpdqf2oqh3k6lc0mh9u4k4m.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. NSLNYPfWWE6edghN+CrpPS6s28rXYzHwIfcfZHNd4rDqMTfUIJoLNDgUyPcx0qigkumyvSOn75u2bRFxw09detN3vBD7w2GUdKFWw2DASYeh3ljVBdgx6p9XGOgcSrpxkqmTP1m9yGLkPqSRur4lXXlM2gKBVaKWT0/y7JdNJFgW37NKqL0xMgdsYM30OdySZjr18QYCFCslNGrCprHpjw==
ca26q0jbtmri8hvbeat2otb248v572ta.bayern.	43200	in	nsec3	1 0 0 - CA2AE4KBO6490GAIMH6SRETMJDAHD185 NS
ca26q0jbtmri8hvbeat2otb248v572ta.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. GdQLvIr71j8FZKV5etafvmHV65LNlIhL61giENulRNYRqyzNe9zVPofv51OnHvF1xD3QxWHmQCSP9Qu3iRsjqxv01rufipdHwCHbuJ0qttUNzB0foRRO4wiXSTPQLyTRVKfO7OzQgkU+U6P2LqrsjDsjeqCpC4owlMfzjWvWQ2sZ1R9c8Lg8NB3CQTfiaOWI0qOO7poq45vId7lhWSsCuw==
ca2ae4kbo6490gaimh6sretmjdahd185.bayern.	43200	in	nsec3	1 0 0 - CA2D9BNB4QENLAR88D41E89G48U417NL NS
ca2ae4kbo6490gaimh6sretmjdahd185.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. gIlDJIb6WvS0q3RgLQ8DAioRwMm2oSr31YhyMTxnKUqA5aHIXeolYlhPmQIeHzc3pBInfvtPnwUavIpgkU10vKwu6T1Bl5PpkQIVVxayJ4rC05vsRXwMTLRdBjAjZ0QAlzcaBRvJAZW2rbnUexTA29uSi6blDPuY5sXIbUVrCjvhwUrZIXTln9COSOr/WZQOlhVBsTZuzmYNs0Qgz3bYew==
ca2d9bnb4qenlar88d41e89g48u417nl.bayern.	43200	in	nsec3	1 0 0 - CA395UNROIQB4TKPUQLHL66QQSIR34OQ NS
